do,ph,co,bod,na,tc,wqi
5.7,7.2,189.0,2.0,0.2,8391.0,76.96000000000001
6.3,6.9,179.0,1.7,0.1,5330.0,79.28
5.8,6.9,64.0,3.8,0.5,8443.0,69.34
5.8,7.3,83.0,1.9,0.4,5500.0,77.14000000000001
5.5,7.4,81.0,1.5,0.1,4049.0,77.14000000000001
6.1,6.7,308.0,1.4,0.3,5672.0,75.44
6.4,6.7,414.0,1.0,0.2,9423.0,75.44
6.4,7.6,305.0,2.2,0.1,4990.0,82.03999999999999
6.3,7.6,77.0,2.3,0.1,4301.0,82.75999999999999
7.1,7.1,176.0,1.2,0.1,7817.0,82.58000000000001
6.7,6.4,93.0,1.4,0.1,3433.0,66.25999999999999
7.4,6.8,121.0,1.7,0.4,18125.0,68.22
6.9,7.0,620.0,1.1,0.1,6300.0,82.03999999999999
6.0,7.5,72.0,1.6,0.2,9517.0,82.94
7.3,7.0,247.0,1.5,0.2,2453.0,82.4
7.3,7.0,188.0,1.0,0.1,3048.0,82.58000000000001
7.0,6.9,224.0,1.2,0.3,6742.0,79.28
7.3,6.7,144.0,1.5,0.1,3052.0,76.16
5.3,6.8,319.0,1.8,0.3,10250.0,61.88000000000001
6.3,6.4,79.0,1.6,1.4,12842.0,55.019999999999996
5.4,7.6,39.0,1.4,0.1,6367.0,77.32000000000002
2.2,6.5,322.0,4.7,1.2,14920.0,28.120000000000005
5.2,7.1,192.0,2.6,0.3,8925.0,76.96000000000001
5.6,7.5,282.0,1.8,0.1,5082.0,76.78
5.5,7.4,275.0,1.5,0.1,8625.0,76.78
7.3,6.7,55.0,1.4,0.1,4003.0,76.34
6.5,7.5,415.0,2.0,0.1,1538.0,82.03999999999999
7.2,6.3,100.0,1.5,0.1,13575.0,55.019999999999996
6.6,7.8,95.0,4.9,0.2,36.0,89.32000000000001
6.9,7.9,99.0,5.0,0.4,34.0,89.32000000000001
6.8,7.7,85.0,5.2,0.3,23.0,89.32000000000001
6.7,7.8,80.0,4.9,0.3,29.0,89.32000000000001
5.6,7.9,468.0,3.6,1.9,164.0,77.36
6.4,7.6,541.0,5.7,0.6,45.0,88.60000000000001
6.7,7.6,83.0,4.8,0.2,76.0,83.7
5.9,7.4,268.0,6.4,0.4,68.0,73.04
5.8,7.3,384.0,5.4,0.6,78.0,77.36
5.9,7.4,269.0,5.1,1.2,60.0,77.72
6.0,7.3,269.0,8.5,0.4,58.0,78.66
6.1,7.3,196.0,6.1,0.5,63.0,78.84
5.9,7.4,269.0,6.4,0.4,47.0,78.66
6.3,7.8,223.0,4.6,0.9,32.0,89.14000000000001
6.6,8.1,161.0,4.6,0.3,32.0,89.14000000000001
6.7,8.0,138.0,5.0,0.3,33.0,89.32000000000001
6.7,7.8,81.0,4.9,0.3,35.0,89.32000000000001
5.9,7.7,194.0,5.5,0.6,51.0,77.9
6.3,7.6,186.0,4.6,0.6,31.0,89.14000000000001
6.6,7.6,207.0,4.7,0.7,31.0,89.14000000000001
6.8,7.7,85.0,5.0,0.4,34.0,89.32000000000001
6.7,7.5,85.0,1.4,1.0,420.0,88.38
